record_id,time,victim,narrative,date_raw,source_page,notes
6133,1151 HRS.,STATE OF ILLINOIS,"offender: melecio, tommy, 22yoa of the 3100 block of cavendish dr, rockford was arrested for possession/delivery of cannabis and aggravated fleeing and eluding.",02-APR-21,1.0,
6134,1500-0700 HRS.,VILLAGE LAUNDROMAT - 14 W. CHICAGO AVE,"offender(s) unknown by means of a pry type tool gained entry to the business. once inside, the offender(s) removed copper piping/fittings, tools and a flat screen television. estimated loss $3,300.00.",30-MAR-21 - 31-MAR-21,1.0,manual_fix: regeocoded_with_op_bias
6135,1500-1100 HRS.,OAK PARK RESIDENT,person(s) unknown by means of a pry type tool defeated the lock on the side service door of the victim's garage. the victim related the lock was broken and there was damage to the door jamb as well.,27-NOV-20 - 28-NOV-20,2.0,
6136,1400 - 1405 HRS.,OAK PARK RESIDENT,"offenders: two m/b's, 14-16 yoa, thin build, wearing black hooded sweatshirts and jeans. the offenders removed victim's unattended red and black haro mountain bicycle and were last seen e/b on lake. estimated loss $300.00",09-OCT-20,1.0,
6137,2000 - 0848 HRS.,OAK PARK RESIDENT,"person(s) unknown by means of an unlocked and damaged door, gained entry to the victim's vehicle. once inside, the offender(s) removed three credit cards and a black nike sweat shirt. estimated loss $50.00",08-APR-20 - 09-APR-20,1.0,
6138,2200 - 0515 HRS.,OAK PARK RESIDENT,"offender(s) unknown by means of an unlocked door gained entry to the victim's vehicle and removed a gray hp work laptop computer and a green duffle bag containing clothes. estimated loss $1,650.00.",22-JAN-20 - 23-JAN-20,1.0,
6139,0000 - 0922 HRS.,OAK PARK RESIDENT,offender(s) unknown by unknown means defeated/removed a lock to gain entry to the victim's storage unit and removed a stereo amp and speakers. the items were stacked outside of storage unit. estimated damage $7.00,29-SEP-19,1.0,
6140,0100 - 1100 HRS.,CHICAGO RESIDENT,"person(s) unknown by means of an unlocked door gained access to the victim's parked vehicle. once inside, the offender(s) removed a tan cloth bag that contained eight sets of keys. estimated loss $100.00",07-SEP-19,4.0,
6141,1120 HRS.,OAK PARK RESIDENT,"subject: abrahams, oneil 48 yoa, of the 900 block n. humphrey, oak park, il. was arrested for disorderly conduct and public indecency that occurred on 10-apr-19 on the 700 block of hayes.",08-MAY-19,1.0,legit_outside_oak_park: event outside OP (MAYWOOD)
6142,2100 - 1105 HRS.,OAK PARK RESIDENT,"person(s) unknown, by means of an unlocked door, gained entry to the victim's mercury villager. once inside, the offender(s) ransacked the vehicle and removed a cell phone charger. estimated loss $20.00",25-SEP-18 - 26-SEP-18,2.0,
6143,1300 HRS.,OAK PARK RESIDENT,the 1987 blue toyota camry that was taken from oak park on 14-may-17 was recovered at the above address. the owner was notified and the vehicle was removed from l.e.a.d.s.,17-MAY-18,1.0,legit_outside_oak_park: event occurred outside OP (non-OP jurisdiction per address)
6144,1500 - 0900 HRS.,OAK PARK RESIDENT,"person(s) unknown gained entry to the victim's garage by means of an unlocked side door. once inside, a green men's trek 730 bicycle and a blue/gray women's gary fisher bicycle were removed. estimated loss $150.00",29-JUL-18 - 30-JUL-18,2.0,
6145,1530 - 1700 HRS.,OAK PARK RESIDENT,"person(s) unknown gained entry to the victim's garage by means of an unlocked side service door. once inside, a yard machine lawn mower, a ryobi weed wacker, and a leaf blower were removed. estimated loss $280.00",28-JUL-18,3.0,
6146,1400 HRS.,OAK PARK RESIDENT,"person(s) unknown by means of an unlocked door gained entry to the victim's 2013 black volkswagen eos. once inside, the offender(s) ransacked the interior and removed u.s.c. estimated loss $5.00",04-JUN-18,2.0,
6147,1116 HRS,OAK PARK RESIDENT,"suspect: m/b, 40's, 6'00"", medium build, wearing a black knitted hat, orange hooded sweater, black jacket, and dark blue jeans removed a package containing food from ""plated"" meal delivery service. estimated loss $160.00.",23-FEB-18,1.0,manual_fix: regeocoded_with_op_bias
6148,1220 HRS,STATE OF WISCONSIN,"subject: ciciora, graeme d., 26yoa, of 1800 block w. touhy, chicago was stopped and arrested after a name check revealed he had an active warrant from juneau county, wisconsin.",14-JAN-18,3.0,
6149,1736 HRS.,CHICAGO RESIDENT,offender approached the victim's grey 2023 kia and started to pull the locked door handle approx. two times while the victim and passenger were in the vehicle. estimated loss unknown at this time.,09-APR-26,2.0,
6150,0957 HRS.,CHICAGO RESIDENT,"bello, faruq o. (m/27) of the 700 block of s. clark st, chicago, il, was stopped and arrested for aggravated assault. the subject was transported to the station, processed and held for bond hearings.",05-DEC-25,1.0,
6151,0943 HRS.,"OAK PARK RESIDENCE, CORP. / 21 SOUTH BLVD.","taylor, barry s. (m/47) of the 3600 block of s. rhodes, chicago, il. was arrested for criminal trespass to residence and criminal damage to property.",11-NOV-25,1.0,
6152,1150 HRS.,OAK PARK RESIDENT,"diaz guzman, carlos m. (m/38) of the 1100 block of s. oak park ave. was stopped and arrested for domestic battery. subject was tranported to the station, processed, and held for a detention hearing.",04-NOV-25,2.0,
6153,1226 HRS.,JEWEL OSCO / 438 MADISON ST.,"mcdonald, sherman d. (m/20) was stopped and arrested for retail theft. subject was transported to the station, processed, issued a citation and notice to appear in court, and released from the station.",04-SEP-25,1.0,
6154,0234 HRS,,"garcia, erika f/34 of the 1400 block of s grove ave in berwyn was arrested at the above location for driving under the influenec of alcohol. subject was given a citation and notice to appear in court and released from the station.",18-JUL-25,3.0,
6155,1313 HRS.,OAK PARK RESIDENT,"subject: appling, sorrel l. m/18, was arrested for taking the victim's bicycle. subject was transported to the station, processed, issued a citation and notice to appear in court, and released from the station.",10-JUL-25,1.0,
6156,1338 HRS.,ROSELLE RESIDENT,"person(s) unknown, by unknown means, smashed the front driver side window to the victim's silver 2016 ford. nothing was taken from the vehicle. estimated cost of damage unknown at this time.",14-MAY-25,3.0,
6157,1517 HRS.,DES PLAINES RESIDENT,"the 2017 white alfa romeo that was reported stolen out of chicago on 26-apr-25, was recovered by the oak park pd. no apprehensions. owner was notified. leads was canceled by the chicago pd.",02-MAY-25,1.0,
6158,1354 HRS.,STREAMWOOD RESIDENT,a male subject approached the victim and displayed a black handgun after an argument regarding a parking spot took place. the subject then left in a white pickup truck n/b on taylor from the scene.,27-APR-25,2.0,
6159,0251 - 0255 HRS.,OAK PARK RESIDENT,"m/unknown was observed on video using a pry type tool to defeat the lock to the side service door of the victim's garage. once inside, a milwaukee cordless two-piece drill set was removed. estimated loss is unknown.",10-SEP-24,1.0,
6160,0523 HRS.,STATE OF ILLINOIS,"mantuano-chamba, moises - m/44 of the 2400 block of n. lotus ave. chicago was arrested for driving under the influence of alcohol. he was transported to the station, processed, issued a citation and was released.",11-FEB-24,4.0,
6161,0000-1732 HRS.,OAK PARK RESIDENT,"person(s) unknown removed the victim's mail package from the front exterior stairs of the residence. the mail package contained a pair of gold in color women's ""comfort view"" boots. total estimated loss $75.00.",01-DEC-23 - 02-DEC-23,4.0,
6162,2015 - 0550 HRS.,OAK PARK RESIDENT,"person(s) unknown by means of forcing open the closed/secured side service door, gained entry to the victim's garage. once inside, offender(s) removed a green women's schwinn beach cruiser bicycle. estimated loss $449.00",01-NOV-23 - 02-NOV-23,1.0,
6163,1300-0730 HRS.,FLORIDA RESIDENT,"subject(s) unknown by means of a cutting type tool removed the catalytic converter from the victim's black 2017 hyundai tucson while parked at the above address. estimated loss is $2,000.00.",20-OCT-23 - 24-OCT-23,1.0,
6164,0915 HRS.,TARGET / 1129 LAKE,"offender: santiago, luis a. (m/32) of the 14600 block of keystone, midlothian, il. was arrested for retail theft. subject was also found to have (2) active cook county warrants for retail theft.",12-SEP-23,1.0,
6165,0416 HRS.,OAK PARK RESIDENT,"the 2015 hyundai elantra that was reported stolen out of oak park on 30-jun-23, was recovered by the chicago police department (cpd) at the above location. no apprehensions.",02-JUN-23,4.0,legit_outside_oak_park: event outside OP (CHICAGO)
6166,1045-1118 HRS.,OAK PARK RESIDENT,"offender(s) unknown gained entry to the garage through the open side service door. once inside, the offender(s) removed two husqvarna 14"" concrete saws and a leica laser level. total estimated loss $5,100.00.",26-JUN-23,1.0,
6167,0800-1240 HRS.,OAK PARK RESIDENT,person(s) unknown by unknown means defeated the lock and removed the victim's red dynacraft mountain bike from the bike rack at the above location. total estimated loss $150.00.,14-JUN-23,1.0,
6168,0338 HRS.,OAK PARK RESIDENT,"subject: joseph, lanita s. (f/40) of the 6700 block of blue hill road in houston, tx was arrested at the above location for aggravated assault. the subject was processed and held for bond hearings.",12-JUN-23,1.0,
6169,0255 HRS.,SKOKIE RESIDENT,"subject: morrow, davadis (m/29) of the 9000 block of lamon ave. in skokie was charged and arrested with domestic battery. the subject was transported to the station, processed and held in lieu of bond.",07-MAY-23,2.0,
6170,2316 HRS.,OAK PARK RESIDENT,the 2006 toyota sienna that was reported stolen on 29-mar-23 from the 300 block of north austin blvd. was recovered at the above location by the dekalb police department. no apprehensions.,07-APR-23,1.0,legit_outside_oak_park: event outside OP (DEKALB)
6171,1904 HRS.,CHICAGO RESIDENT,"subject: rivas, jasmine a. (f/20) of the 6900 block of w. irving park rd., chicago, il. was arrested for domestic battery. the subject was transported to the station, processed and held for bond hearings.",26-MAR-23,4.0,
6172,0100 - 0200 HRS.,AURORA RESIDENT,"person(s) unknown entered the victim's parked 2021 kia forte by means of an unlocked door. once inside, the steering column was peeled in an attempt to remove the vehicle. estimated damage is unknown.",17-MAR-23,2.0,
6173,1454 - 1458 HRS.,TARGET,the f/b offender entered the store and placed two bottles of bulleit burbon and one bottle of barcadi rum into the green bag. the offender walked past the last point of purchase without buying the items. total estimated loss $98.26.,07-MARCH-23,1.0,
6174,0955 HRS.,OAK PARK RESIDENT,"subject: barnes, michael 62 yoa, of the 2100 block of w. lunt, chicago, il. was arrested for violation of stalking no contact order, cyber stalking and violation of parole.",22-NOV-22,1.0,legit_outside_oak_park: event outside OP (CHICAGO)
6175,1330-1335 HRS.,OAK PARK RESIDENT,"the m/b offender was observed removing the victim's package containing women's brown leather ""schutz"" boots from the victim's front porch. the offender left the area in a black suv. total estimated loss $150.00.",18-NOV-22,1.0,
6176,1230 - 1400 HRS.,CHICAGO RESIDENT,person(s) unknown by unknown means removed the catalytic converter from the victim's toyota prius while it was parked at the above location. estimated loss unknown at the time of the report.,27-OCT-22,1.0,
6177,. 1550 HRS.,OAK PARK RESIDENT,"the 2013 chevy equinox that was reported stolen from the 800 block of gunderson ave. in oak park on 28-sept-22, was recovered by the cpd at the above location. no apprehensions were made.",12-OCT-22,3.0,
6178,0942 HRS.,RIVER FOREST RESIDENT,"person(s) unknown by unknown means gained entry to the victims 2010 acura sd, while parked. once inside, offender(s) removed an iphone from the center console. total estimated loss $800.00.",17-SEP-22,2.0,
6179,1525 HRS.,OAK PARK RESIDENT,"person(s) unknown by means of an unlocked side service door gained entry to the victim's garage. once inside, offender(s) removed a yellow shopvac and black car jumper cables. total estimated loss $140.00.",11-SEP-22,1.0,
6180,0915-1600 HRS.,OAK PARK RESIDENT,"person(s) unknown by means of an open overhead door gained entry to the victim's garage. once inside, the offender(s) removed both license plates from the victim`s 2018 subaru forester. estimated loss $50.00.",31-AUG-22,1.0,
6181,1900-1530 HRS,OAK PARK RESIDENT,person(s) unknown removed the catalytic converter from the victim's black 2013 toyota prius which was parked on the street at the above location. loss unknown at time of report.,20-MAY-22 & 21-MAY-22,4.0,
6182,1200-0800 HRS.,OAK PARK RESIDENT,"person(s) unknown defeated the rear door knob and gained entry to the victim's residence. once inside, the offender(s) removed a card that contained usc from a table in the bedroom. estimated loss $100.00.",01-APR-22 - 04-APR-22,3.0,
6183,0256 HRS,,"scott, steven 31yoa of 1800 block of s 2nd ave in maywood was involved in an accident at the above location in which he struck a lightpole with his vehicle. investigation revealed subject was driving under the influence of alcohol.",15-JAN-22,2.0,
6184,1600-0631 HRS.,OAK PARK RESIDENT.,"person(s) unknown by means of a damaged garage side service door gained entry to the victim's garage. once inside, offender(s) removed a grocery tote with (3) sweatshirts and a shovel. estimated loss $195.00.",26-SEP-21 - 27-SEP-21,1.0,
6185,1634 HRS.,OAK PARK RESIDENT,"offender slim build, dreadlocks, last seen wearing a gray shirt, and a cowboy hat removed the victim's red/white mongoose bicycle that was left near the door. the offender then fled w/b on madison. estimated loss $150.00.",25-AUG-21,1.0,
6186,1344 HRS.,CVS PHARMACY - 345 MADISON ST.,"subject: olds, neil, 30 yoa, of the 300 block of s. harvard ave. in addison was arrested after he was found to have an active oak park arrest warrant for retail theft that occurred 12-mar-21.",06-MAY-21,1.0,
6187,0257 HRS.,SHELL GAS STATION-401 MADISON,"cooper, miesha, 22yoa, of the 700 block of n. central, chicago was arrested for criminal damage to property after damaging a window at the business. loss unknown at time of report.",31-MAR-21,1.0,
6188,0048 HRS.,STATE OF ILLINOIS,"subject: collins, terrell l, 30 yoa , of the 200 block of s. lavergne chicago was arrested for unlawful possession of cannabis, aggravated uuw, illegal transportation of alcohol and traffic violations.",04-JAN-21,1.0,
6189,1200 - 1020 HRS,OAK PARK RESIDENT,"person(s) unknown by means of an unlocked door gained entry to the victim's auto. once inside, insurance paperwork, a box of medical supplies, and misc. blankets were removed. estimated loss $40.00",06-OCT-20 - 07-OCT-20,1.0,
6190,2030 - 1122 HRS.,OAK PARK RESIDENT,"person(s) unknown removed two charcol weber grills, a black wicker patio love seat, two (2) black wicker side chairs, and three (3) aztec colored 21"" x 15"" flower pots from the patio of the residence. estimated loss $838.00",04-MAY-20 - 05-MAY-20,1.0,
6191,0700 - 1300 HRS.,OAK PARK RESIDENT,"offender(s) unknown gained entry to the victim's residence by means of an unlocked window and removed an apple macbook pro computer, an x-box, playstation, and misc. jewelry. estimated loss $4,700.00",27-SEP-19,2.0,
6192,2200 - 0730 HRS.,OAK PARK RESIDENT,"offender(s) unknown by means of an unlocked door gained entry to the victim's vehicle and removed a flashlight, lactose medication, loose change, and a garmin gps system. total loss $633.00.",09-SEPT-19 - 10-SEPT-19,1.0,
6193,1729 HRS,STATE OF ILLINOIS,"subject:grayer, jenee m., 18 yoa of the 10600 block of seiler rd, new haven indiana was arrested for leaving the scene of an accident that occurred in the area of oak park and fillmore.",04AUG19,3.0,
6194,1352 - 1539 HRS.,OAK PARK RESIDENT,"offender m/b, teenager, lsw light blue hoodie and blue jeans removed the victim's 26 inch. black / red bicycle schwinn circuit bicycle that was not secured from the bike rack at the above location. total loss is $250.00.",30-JULY-19,2.0,
6195,1930-0845 HRS,OAK PARK RESIDENT,"person(s) unknown by unknown means entered the victim's vehicle and once inside, removed a black eel skin wallet containing an il drivers license, misc. debit cards and usc. estimated loss $13.00",11-JUN-19 - 12-JUN-19,1.0,
6196,1930 - 2100 HRS.,OAK PARK RESIDENT,"person(s) unknown entered the victim's garage by means of the closed but unlocked side service door. once inside, a light grey trek hybrid bicycle with a tan stripe along the frame was removed. estimated loss $300.00",01-MAY-19,1.0,
6197,1826 HRS,OAK PARK RESIDENT,"subject: garcia, edgar m/h, of the 3900 block of north lowell chicago was arrested for aggravated domestic battery, and harassment by telephone at above location.",01-APR-19,2.0,
6198,0456 HRS,OAK PARK RESIDENT,"subject: mullins, jordan, 21 yoa, of the 5200 block of w. chicago, chicago, il. was arrested for criminal trespass to motor vehicle that occurred on the 300 block of north grove.",14-MAR-19,1.0,
6199,2250 HRS.,,"subject: daniels, larry 30yoa, of the 4400 block of west end, chicago, il. was arrested on an active oak park warrant for criminal damage to property. the subject was also arrested on a river forest warrant for burglary.",22-FEB-19,2.0,
6200,1721 HRS.,CHICAGO RESIDENT,"subject: clark, tyrel 23yoa, of the 3800 block of monroe, chicago, il. was arrested for domestic battery, interfering with reporting a domestic battery, and an i.d.o.c. warrant for violation of parole.",21-FEB-19,1.0,
6201,1600 - 1700 HRS.,OAK PARK RESIDENT,"person(s) unknown, by means of an unlocked driver`s side door, gained entry to the victim's 2002 saturn. once inside, the offender(s) ransacked the interior as well as the trunk. no loss reported.",04-JAN-19 - 08-JAN-19,1.0,
6202,1404 HRS,STATE OF ILLINOIS,"subject: mack, kudafi, 21yoa, of the 4800 block of west thomas, chicago, il was arrested at the above location for a dwls warrant, transported to station, processed and held for dupage county.",18-DEC-2018,1.0,
6203,1200 HRS,PACE BUS -ARLINGTON HEIGHTS,"offender: m/b, early 20's, 5'8"", thin build wearing a dark blue jacket with hood and blue/white jeans shattered the glass of the front door of the bus by unknown means. estimated damage unknown",11-MAY-18,1.0,
6204,1550 HRS,STATE OF ILLINOIS,"subject: lamanna, vincent a., 21 yoa, of 3800 block cleveland ave brookfield, il was arrested for possession of a controlled substance and possession of drug paraphernalia.",03-JAN-18,2.0,
6205,2200 - 0620 HRS.,OAK PARK RESIDENT,"person(s) unknown broke the front drivers side window of the victim's 2021 honda accord and gained access. once inside, the air bag was removed from the steering wheel. estimated loss was unknown.",05-APR-26 - 06-APR-26,1.0,
6206,1536 HRS.,STATE OF ILLINOIS,"howell, isaiah e. (m/25) of the 1600 block of waukegan in waukegan, il was stopped and arrested for a lake county warrant. subject was transported to the station, processed, and held for bond hearings.",25-SEP-25,1.0,
6207,2000 - 1020 HRS.,OAK PARK RESIDENT,"person(s) unknown, by unknown means damaged and removed the front driver window to the victim's 2013 toyota prius. once inside, the vehicle was ransacked and u.s.c. was removed. estimated loss $255.00",24-AUG-25 - 27-AUG-25,1.0,
6208,1214 HRS.,OAK PARK BUSINESS,"offender: m/b, 5'10, thin build wearing a black hat and all black clothing entered the business and removed a pack of charmin paper towels, then exited the store through an emergency exit. estimated loss $21.49.",24-JUL-25,3.0,
6209,1200-1730 HRS.,OAK PARK RESIDENT,"person(s) unknown by unknown means defeated the bike lock and removed the victim's black gary fisher hybrid bicycle (serial number unknown), while secured to the bike rack at the above location. estimated loss $820.00.",30-JUN-25,1.0,
6210,1651-1718 HRS.,RIVER FOREST RESIDENT,"person(s) unknown removed the victim's gray/black kent 26"" northwoods 21 speed dual drive tandem adult bike (unknown serial number), while left unsecured from the bike rack at the above address. estimated loss $500.00.",17-JUN-25,2.0,
6211,1720 HRS.,CHICAGO RESIDENT,the victim observed a male subject remove his black mountain bike that was leaning against the rear of the garage. the offender then mounted the bike and rode away northbound oak park ave. loss estimated at $289.99.,14-JUN-25,1.0,
6212,1829 HRS,,"white, deboris m/34 of the 1400 block of s. 7th ave maywood, illinois was arrested and charged with driving while under the influence of alcohol. white was processed, given a citation, notice to appear, and released from the station.",11-DEC-24,1.0,
6213,0254 HRS.,7-ELEVEN / 661 SOUTH BLVD.,"female juvenile, chicago resident was arrested for burglary and criminal damage to property. juvenile was also cited a local ordinance citation for a curfew violation.",18-AUG-24,3.0,
6214,1637 HRS.,AVIS BUDGET RENTAL / 414 MADISON,"the 2024 nissan altima that was reported stolen / rented and not returned on 10-aug-24, was recovered by the orland park police department. one apprehension.",11-AUG-24,5.0,legit_outside_oak_park: event outside OP (ORLAND PARK)
6215,0000 HRS.,OAK PARK RESIDENT,"a female subject removed a white iphone 12 from the victim's yard sale that was taking place at the above address. the subject was then seen entering a black mini van and went n/b on grove ave. estimated loss $1,200.00.",27-JUL-24,2.0,
6216,1914-2202 HRS,OAK PARK RESIDENT,"person(s) unknown entered the building by unknown means and once inside removed the victim's red specialized sirrus bicycle which was locked with a u-lock from the shared storage area. loss estimated at $1,200.",20-JUL-24 & 24-JUL-24,3.0,
6217,2230-0014 HRS.,CHICAGO RESIDENT,"person(s) unknown by unknown means gained entry and removed the victim's - white 2011 hyundai sonata while parked at the above address. estimated loss $10,000.00. the vehicle was entered into l.e.a.d.s.",22-JUL-24,1.0,
6218,2000-0740 HRS.,OAK PARK RESIDENT,subject(s) unknown by unknown means broke the front passenger side window of the victim's - silver 2024 jeep compass suv while parked at the above address. no entry was gained. estimated damage $150.00.,17-JUL-24 - 18-JUL-24,1.0,
6219,0000 - 1627 HRS.,FOREST PARK RESIDENT,"person(s) unknown, by means of an unlocked door gained entry to the victim's 2018 chevrolet silverado. once inside, an iphone 8, bluetooth speaker, and a wallet were removed. estimated loss $255.00",14-MAY-24,1.0,
6220,1241 HRS.,OSWEGO RESIDENT,"the black 2017 nissan rogue that was reported stolen out of oak park on 25-mar-24, from the 1100 block of s. harvey, was recovered by the chicago police department. no apprehensions.",21-APR-24,5.0,legit_outside_oak_park: event outside OP (CHICAGO)
6221,1938 HRS.,LAKE ZURICH RESIDENT,"subject(s) unknown, by unknown means, gained entry to the victim's white ford f250. once inside, the subejct(s) ransacked the interior and removed credit cards and usc. loss estimated at $103.00.",30-MAR-24,2.0,
6222,0845-1319 HRS.,OAK PARK RESIDENT,"offender(s) unknown by unknown means removed the catalytic converter from the victim's toyota prius that was parked at the above location. total estimated loss $2,141.00.",27-JUN-23,2.0,manual_fix: regeocoded_with_op_bias_pass3
6223,1300-0927 HRS.,OAK PARK RESIDENT,person(s) unknown by unknown means shattered the office glass door to gain entry to the business. once inside. offender(s) ransacked several drawers and removed usc. total estimated loss $100.00.,24-JUN-23 - 25-JUN-23,4.0,
6224,0840-1220 HRS.,OAK PARK RESIDENT,"person(s) unknown by means of an unlocked rear door gained access to the victim's residence. once inside, the offender(s) ransacked the victim's bedroom. no reported loss at the time of report.",07-JUN-23,2.0,
6225,0018 HRS.,NORTH RIVERSIDE RESIDENT,"subject: solis, alexander (m/19) of the 7900 block of west cermak road in north riverside was arrested at the above location for domestic battery. the subject was held for bond hearings.",23-MAY-23,1.0,
6226,1848 - 1852 HRS.,OLD NAVY,the m/b offender was observed via video surveillance removing mutliple items of clothing from the shelf and placing them in a green bag. the offender left the store without paying for the items. total estimated loss $141.92.,02-MAY-23,1.0,
6227,1826 HRS.,STATE OF ILLINOIS,"subject: mcclain, james (m/33) of the 400 block of north st. louis in chicago was arrested at the above location on an active cook county warrant for retail theft. the subject was held in lieu of bond.",21-APR-23,2.0,
6228,1400-9000 HRS.,OAK PARK RESIDENT,"person(s) unknown by means of an unlocked door gained access to the victim's 2018 toyota prius. once inside, the offender(s) removed a pair of boots and sunglasses. total estimated loss $500.00.",05-APR-23 - 08-APR-23,2.0,
6229,1730-2307 HRS,CHICAGO RESIDENT,person(s) unknown broke the rear passenger side window of the victim's white hyundai sonata which was parked on the street at the above location by unknown means. damage estimate is unknown.,07-NOV-22,2.0,
6230,2200-1500 HRS.,NAPERVILLE RESIDENT,person(s) unknown by means of a cutting type tool removed the catalytic converter from the victim's toyota prius while it was parked at the above location. estimated loss is unknown at this time.,03-NOV-22 - 04-NOV-22,1.0,
6231,2030-0550 HRS.,OAK PARK RESIDENT,person(s) unknown by unknown means broke the rear window and both side mirrors on the victim's 2010 honda civic while it was parked at the above location. estimated loss $500.00.,12-OCT-22 - 13-OCT-22,1.0,
6232,2131 HRS.,OAK PARK RESIDENT,"person(s) unknown by unknown means removed a pair of apple pro air pods from the victim's backpack, while left unsecured and unattended on a gym bench at the above address. total estimated loss $279.00.",13-SEP-22,1.0,
6233,1609 HRS,CHICAGO RESIDENT,a male juvenile from chicago was arrested at the above location for possession of a stolen motor vehicle which was taken from the 1900 block of west maypole in chicago. the juvenile was released to his parent.,28-AUG-22,4.0,
6234,0927 HRS.,OAK PARK RESIDENT,"offender: female, 20-30 yoa, 5'6, thin build with short black hair wearing a black tank top and red shorts removed the black iphone 11 that was left unattended on the victim's porch. total estimated loss $520.00.",07-AUG-22,4.0,
6235,1430-0050 HRS,OAK PARK RESIDENT,person(s) unknown broke the rear passenger side window of the victim's grey 2020 hyundia sedan which was parked in the rear lot at the above location by unknown means. damage estimate is unknown.,21-JUL-22 & 22-JUL-22,1.0,
6236,0730-1600 HRS.,OAK PARK RESIDENT,"person(s) unknown by means of an unlocked garage door gained entry to the victim's garage. once inside, the offender(s) removed the victim's dark gray cannondale bicycle, helmet and lock. estimated loss $410.00.",18-JUN-22,1.0,
6237,0000-1026 HOURS,OAK PARK RESIDENT,offender(s) unknown by unknown means gained access to victim's garage and removed a grey 10 speed fuiji bicycle and an air compressor. there is no offender information at this time. total loss is estimated $550.00,01 NOVEMBER 2021-12 DECEMBER 2021,1.0,
6238,2200 - 1100 HRS.,OAK PARK RESIDENT,person(s) unknown by unknown means slashed and cut the brake line on the front passenger tire of the victim's silver and black nissan which was parked in parking garage. estimated loss $200.00.,19-SEP-21 - 20-SEP-21,1.0,
6239,2217-2317 HRS.,OAK PARK RESIDENT,"the offender 30-35 yoa, wearing all black entered the business, removed the victim's black ""samsung"" cellphone from the counter then exited. he was last seen walking westbound on south blvd. loss estimated at $250.00.",01-AUG-21,1.0,
6240,1930-2131 HRS.,OAK PARK RESIDENT,"person(s) unknown, by means of an unlocked side service door, gained entry to the victim's garage. once inside, the offender(s) entered the victim's unlocked 2015 nissan altima. loss estimated at $50.00.",17-JUL-21,2.0,
6241,2030-0730 HRS.,OAK PARK RESIDENT,"person(s) unknown by unknown means removed the victim's black 2018 chevy malibu while parked in the above area. vehicle contained: victim's wallet, work laptop and usc. estimated total loss $18,000.00.",07-JUL-21 - 08-JUL-21,1.0,
6242,1146-1150 HRS.,OAK PARK RESIDENT,"offender: f/h, 50yoa, dark hair, sunglasses wearing a black jacket and black pants, removed a package from the victim's front porch. the package contained a standing desk and a table runner. estimated loss $85.00.",19-MAR-21,1.0,
6243,2150 - 0600 HRS.,OAK PARK RESIDENT,"person(s) unknown by means of an unlocked door entered the victim's 2012 chrysler. once inside, the offender(s) ransacked the vehicle and removed a garmin gps device. estimated loss $250.00.",12-MAR-21 - 13-MAR-21,1.0,
6244,2017 HRS.,CHICAGO RESIDENT,person(s) unknown removed the victim's parked and running 2007 audi q7. the vehicle was later recovered on 31-oct-20 by the chicago police department on the 3900 block of 16th in chicago. no apprehensions.,30-OCT-20,1.0,
6245,1632-1634 HRS.,PNC BANK,"offender unknown m/b, 25 - 30 yoa, thin build, 5'09 -6'00,"" wearing a black skull cap, black nike hoodie, and light blue jeans displayed a black semi-automatic handgun and demanded the money. the offender fled with $2,200 usc.",21-FEB-20,1.0,
6246,0000 - 1145 HRS.,OAK PARK RESIDENT,"person(s) unknown by unknown means gained access to the victim's vehicle while parked. once inside, the offender(s) ransacked the interior and removed five sets of keys. estimated loss is unknown.",05-FEB-20 - 13-FEB-20,1.0,
6247,0806 HRS.,STATE OF ILLINOIS,"willis, anthony, 31 yoa of the 6700 block of 47 21st berwyn was arrested for dwls /no insurance /no valid registration and an active warrant out of dupage county for no valid license.",10-JAN-20,3.0,
6248,2128 HRS.,,"subject: harris, monroe 47 yoa, of the 4800 block of w. ferdinand, chicago, il. was arrested for driving under the influence of alcohol, driving with no valid driver's license, no insurance, and leaving the scene of an accident.",10-DEC-19,2.0,
6249,0942-0715 HRS,OAK PARK RESIDENT,"person(s) unknown by unknown means removed fedex packages from the victim's front porch that contained 96 cans, dual supplements, and freeze dried pumpkin food, at the above address. estimated loss $314.83",25-NOV-19 - 26-NOV-19,1.0,
6250,1200 - 1700 HRS.,OAK PARK RESIDENT,"person(s) unknown, by unknown means, entered the basement storage area. once inside, the offender(s) broke the hinges off the victim's storage locker and removed a silver colored mountain bike. estimated loss $100.00",25-AUG-19 - 20-OCT-19,3.0,
6251,1319 HRS.,OAK PARK BUSINESS,the vehicle that was reported stolen out of oak park on 14-oct-19 was recovered at the above location by the elmhurst police dept. no apprehensions were made and the owner was notified.,15-OCT-19,1.0,legit_outside_oak_park: event outside OP (ELMHURST)
6252,2200 - 0715 HRS.,OAK PARK RESIDENT,"offender(s) unknown gained entry to the victim's vehicle by means of an unlocked door. once inside, offender used keys that were inside the vehicle and removed the vehicle. estimated loss $4,000.00",29-SEP-19 - 30-SEP-19,2.0,
6253,1555 HRS.,CHICAGO RESIDENT,"offender: m/b, 20 yoa, 6'00"", thin build, wearing a yellow hooded shirt and dark colored pants. offender removed the victim's gold apple i-phone 10 from the victim's hand and then fled on foot. estimated loss $850.00",17-AUG-19,2.0,
